company_id,company_name,ticker,country,region,sector,industry,reporting_year,scope1_mt_co2e,scope2_location_mt_co2e,scope2_market_mt_co2e,scope3_total_mt_co2e,scope1_plus_scope2_location_mt,emissions_intensity_mt_per_musd,revenue_usd_millions,reporting_standard,data_source,third_party_verified,net_zero_target_year,notes,data_collection_date
GHG0012,Qantas,QAN,Australia,Asia-Pacific,Transportation,Airlines,2022,9.3,0.1,0.1,,9.4,0.00104,9042.0,GHG Protocol,NGER_2023/CDP_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0013,AGL Energy,AGL,Australia,Asia-Pacific,Utilities,Electric Power,2023,27.9,0.2,,,28.1,0.002449,11476.0,GHG Protocol,NGER_2023/CDP_2023,True,2035.0,,2024-01-01 to 2025-12-31
GHG0014,Origin Energy,ORG,Australia,Asia-Pacific,Utilities,Gas & Power,2022,20.1,0.4,,,20.5,0.001287,15928.0,GHG Protocol,NGER_2023/CDP_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0015,Meituan,3690.HK,China,Asia-Pacific,Consumer Discretionary,E-Commerce,2022,0.6,0.3,,,0.8999999999999999,3.4e-05,26560.0,GHG Protocol (CN),SustainabilityReport_2023,False,2030.0,,2024-01-01 to 2025-12-31
GHG0016,China Mengniu Dairy,2319.HK,China,Asia-Pacific,Consumer Staples,Food,2022,1.8,0.5,,,2.3,0.000192,12009.0,GHG Protocol (CN),CDP_2023/SustainabilityReport_2023,False,2030.0,,2024-01-01 to 2025-12-31
GHG0017,China Shenhua Energy,601088.SS,China,Asia-Pacific,Energy,Coal & Power,2022,312.0,8.2,,,320.2,0.008643,37048.0,GHG Protocol (CN),SustainabilityReport_2023,False,2060.0,Largest coal company; highest Scope 1,2024-01-01 to 2025-12-31
GHG0018,PetroChina (CNPC),601857.SS,China,Asia-Pacific,Energy,Integrated Oil & Gas,2022,210.5,8.4,,,218.9,0.001724,126992.0,GHG Protocol (CN),SustainabilityReport_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0019,Shandong Energy Group,—,China,Asia-Pacific,Energy,Coal,2022,210.0,,,,210.0,,,GHG Protocol (CN),ChinaETS_2023,False,2060.0,State-owned coal conglomerate,2024-01-01 to 2025-12-31
GHG0020,Sinopec Group (China Petroleum),600028.SS,China,Asia-Pacific,Energy,Integrated Oil & Gas,2022,128.3,6.1,,,134.4,0.001254,107200.0,GHG Protocol (CN),SustainabilityReport_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0021,China Coal Energy,601898.SS,China,Asia-Pacific,Energy,Coal,2022,85.0,,,,85.0,,,GHG Protocol (CN),ChinaETS_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0022,Yanzhou Coal Mining,600188.SS,China,Asia-Pacific,Energy,Coal,2022,72.0,,,,72.0,,,GHG Protocol (CN),ChinaETS_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0023,Shaanxi Coal Industry,601225.SS,China,Asia-Pacific,Energy,Coal,2022,55.0,,,,55.0,,,GHG Protocol (CN),ChinaETS_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0024,Shanxi Coking Coal,000983.SZ,China,Asia-Pacific,Energy,Coal,2022,45.0,,,,45.0,,,GHG Protocol (CN),ChinaETS_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0025,Inner Mongolia Yitai Coal,3948.HK,China,Asia-Pacific,Energy,Coal,2022,38.0,,,,38.0,,,GHG Protocol (CN),ChinaETS_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0026,CNOOC,600938.SS,China,Asia-Pacific,Energy,E&P,2022,29.8,2.3,,,32.1,0.000745,43085.0,GHG Protocol (CN),SustainabilityReport_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0027,Hua Xia Bank,600015.SS,China,Asia-Pacific,Financials,Banking,2022,0.05,0.03,,,0.08,1e-05,7800.0,GHG Protocol (CN),SustainabilityReport_2023,False,2060.0,Included for completeness,2024-01-01 to 2025-12-31
GHG0028,China Baowu Steel Group,—,China,Asia-Pacific,Materials,Steel,2022,220.0,,,,220.0,,,GHG Protocol (CN),ChinaETS_2023,False,2050.0,World's largest steel company,2024-01-01 to 2025-12-31
GHG0029,HBIS Group,—,China,Asia-Pacific,Materials,Steel,2022,160.0,,,,160.0,,,GHG Protocol (CN),ChinaETS_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0030,Ansteel Group,—,China,Asia-Pacific,Materials,Steel,2022,130.0,,,,130.0,,,GHG Protocol (CN),ChinaETS_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0031,Jianlong Steel,—,China,Asia-Pacific,Materials,Steel,2022,90.0,,,,90.0,,,GHG Protocol (CN),ChinaETS_2023,False,,,2024-01-01 to 2025-12-31
GHG0032,CNBM (China National Building Material),3323.HK,China,Asia-Pacific,Materials,Cement,2022,78.2,2.4,,,80.60000000000001,0.008191,9840.0,GHG Protocol (CN),ChinaETS_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0033,China Hongqiao Group,1378.HK,China,Asia-Pacific,Materials,Aluminium,2022,65.0,,,,65.0,,,GHG Protocol (CN),ChinaETS_2023,False,,World's largest aluminium producer,2024-01-01 to 2025-12-31
GHG0034,Anhui Conch Cement,600585.SS,China,Asia-Pacific,Materials,Cement,2022,64.8,2.1,,,66.89999999999999,0.005955,11235.0,GHG Protocol (CN),ChinaETS_2023/SustainabilityReport_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0035,Aluminum Corp of China (Chalco),2600.HK,China,Asia-Pacific,Materials,Aluminium,2022,40.3,18.4,,,58.7,0.015005,3912.0,GHG Protocol (CN),SustainabilityReport_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0036,China Minmetals,—,China,Asia-Pacific,Materials,Mining,2022,22.4,,,,22.4,,,GHG Protocol (CN),SustainabilityReport_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0037,Yunnan Aluminium,000807.SZ,China,Asia-Pacific,Materials,Aluminium,2022,18.0,,,,18.0,,,GHG Protocol (CN),ChinaETS_2023,False,,Hydropower-based — lower intensity,2024-01-01 to 2025-12-31
GHG0038,Zijin Mining,601899.SS,China,Asia-Pacific,Materials,Mining,2022,5.2,2.1,,,7.300000000000001,0.002218,3291.0,GHG Protocol (CN),CDP_2023/SustainabilityReport_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0039,Air China,601111.SS,China,Asia-Pacific,Transportation,Airlines,2022,22.3,0.2,0.1,,22.5,0.001941,11592.0,GHG Protocol (CN),CDP_2023/SustainabilityReport_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0040,China Eastern Airlines,600115.SS,China,Asia-Pacific,Transportation,Airlines,2022,20.1,0.2,0.1,,20.3,0.002148,9451.0,GHG Protocol (CN),CDP_2023/SustainabilityReport_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0041,COSCO Shipping,601919.SS,China,Asia-Pacific,Transportation,Shipping,2022,19.4,0.4,,,19.8,0.000773,25600.0,GHG Protocol (CN),SustainabilityReport_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0042,China Southern Airlines,600029.SS,China,Asia-Pacific,Transportation,Airlines,2022,18.6,0.2,0.1,,18.8,0.001469,12802.0,GHG Protocol (CN),CDP_2023/SustainabilityReport_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0043,China Huaneng Group,—,China,Asia-Pacific,Utilities,Electric Power,2022,400.0,,,,400.0,,,GHG Protocol (CN),CAIT_2023/StatisticalRelease,False,2060.0,State-owned; estimate from China ETS,2024-01-01 to 2025-12-31
GHG0044,China Datang Corporation,—,China,Asia-Pacific,Utilities,Electric Power,2022,200.0,,,,200.0,,,GHG Protocol (CN),CAIT_2023/StatisticalRelease,False,2060.0,State-owned; estimate,2024-01-01 to 2025-12-31
GHG0045,China Huadian Corporation,—,China,Asia-Pacific,Utilities,Electric Power,2022,190.0,,,,190.0,,,GHG Protocol (CN),CAIT_2023/StatisticalRelease,False,2060.0,State-owned; estimate,2024-01-01 to 2025-12-31
GHG0046,State Power Investment Corp (SPIC),—,China,Asia-Pacific,Utilities,Electric Power,2022,160.0,,,,160.0,,,GHG Protocol (CN),CAIT_2023/StatisticalRelease,False,2060.0,State-owned; estimate,2024-01-01 to 2025-12-31
GHG0047,China Guodian (GD Power),600795.SS,China,Asia-Pacific,Utilities,Electric Power,2022,155.0,,,,155.0,,,GHG Protocol (CN),ChinaETS_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0048,Huaneng Power International,600011.SS,China,Asia-Pacific,Utilities,Electric Power,2022,120.0,,,,120.0,,,GHG Protocol (CN),ChinaETS_2023,False,2060.0,Listed subsidiary of China Huaneng,2024-01-01 to 2025-12-31
GHG0049,GD Power Development,600795.SS,China,Asia-Pacific,Utilities,Electric Power,2022,90.0,,,,90.0,,,GHG Protocol (CN),ChinaETS_2023,False,2060.0,CGN subsidiary,2024-01-01 to 2025-12-31
GHG0050,China Resources Power,836.HK,China,Asia-Pacific,Utilities,Electric Power,2022,85.0,,,,85.0,,,GHG Protocol (CN),ChinaETS_2023,False,2060.0,,2024-01-01 to 2025-12-31
GHG0051,Inner Mongolia Power,—,China,Asia-Pacific,Utilities,Electric Power,2022,75.0,,,,75.0,,,GHG Protocol (CN),ChinaETS_2023,False,,Regional grid company,2024-01-01 to 2025-12-31
GHG0052,Cathay Pacific,0293.HK,Hong Kong,Asia-Pacific,Transportation,Airlines,2022,9.2,0.1,0.1,,9.3,0.001575,5906.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0053,ONGC,ONGC.NS,India,Asia-Pacific,Energy,E&P,2022,34.8,1.4,,,36.2,0.001651,21928.0,GHG Protocol (IN),SustainabilityReport_2023,False,2038.0,,2024-01-01 to 2025-12-31
GHG0054,Indian Oil Corporation,IOC.NS,India,Asia-Pacific,Energy,Refining,2022,20.4,2.1,,,22.5,0.000191,118087.0,GHG Protocol (IN),SustainabilityReport_2023,False,2046.0,,2024-01-01 to 2025-12-31
GHG0055,Reliance Industries,RELIANCE.NS,India,Asia-Pacific,Energy,Diversified Energy,2022,14.7,2.8,,,17.5,0.000179,98000.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,False,2035.0,,2024-01-01 to 2025-12-31
GHG0056,ONGC Videsh,—,India,Asia-Pacific,Energy,E&P,2022,8.2,0.6,,,8.799999999999999,0.002588,3400.0,GHG Protocol (IN),SustainabilityReport_2023,False,2038.0,Overseas arm of ONGC,2024-01-01 to 2025-12-31
GHG0057,Oil India Limited,OIL.NS,India,Asia-Pacific,Energy,E&P,2022,3.8,0.4,,,4.2,0.001346,3120.0,GHG Protocol (IN),SustainabilityReport_2023,False,,,2024-01-01 to 2025-12-31
GHG0058,Tata Consultancy Services,TCS.NS,India,Asia-Pacific,Information Technology,IT Services,2022,0.12,0.18,0.08,,0.3,1.2e-05,25701.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2030.0,,2024-01-01 to 2025-12-31
GHG0059,Wipro,WIT,India,Asia-Pacific,Information Technology,IT Services,2022,0.08,0.09,,,0.1699999999999999,1.6e-05,10421.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2030.0,,2024-01-01 to 2025-12-31
GHG0060,Infosys,INFY,India,Asia-Pacific,Information Technology,IT Services,2022,0.05,0.07,0.03,,0.12,7e-06,16311.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2030.0,Carbon neutral since 2020,2024-01-01 to 2025-12-31
GHG0061,Tata Steel India,TATASTEEL.NS,India,Asia-Pacific,Materials,Steel,2022,30.2,3.8,,,34.0,0.001539,22087.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2045.0,,2024-01-01 to 2025-12-31
GHG0062,JSW Steel,JSWSTEEL.NS,India,Asia-Pacific,Materials,Steel,2022,27.8,2.9,,,30.7,0.002721,11284.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0063,Hindalco Industries,HINDALCO.NS,India,Asia-Pacific,Materials,Aluminium,2022,19.4,5.1,,,24.5,0.003218,7614.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0064,Vedanta,VEDL.NS,India,Asia-Pacific,Materials,Mining,2022,18.6,4.3,,,22.9,0.001571,14578.0,GHG Protocol,SustainabilityReport_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0065,InterGlobe Aviation (IndiGo),INDIGO.NS,India,Asia-Pacific,Transportation,Airlines,2022,5.6,0.1,0.0,,5.699999999999999,0.001093,5213.0,GHG Protocol,SustainabilityReport_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0066,IndiGo (InterGlobe),INDIGO.NS,India,Asia-Pacific,Transportation,Airlines,2022,5.6,0.1,0.0,,5.699999999999999,0.001093,5213.0,GHG Protocol,SustainabilityReport_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0067,NTPC,NTPC.NS,India,Asia-Pacific,Utilities,Electric Power,2022,200.3,1.2,,,201.5,0.010495,19200.0,GHG Protocol (IN),SustainabilityReport_2023,False,2070.0,India's largest power utility — mostly coal,2024-01-01 to 2025-12-31
GHG0068,NTPC Renewables,—,India,Asia-Pacific,Utilities,Renewables,2022,0.4,0.1,,,0.5,,,GHG Protocol (IN),SustainabilityReport_2023,False,2070.0,Subsidiary of NTPC,2024-01-01 to 2025-12-31
GHG0069,Pertamina,—,Indonesia,Asia-Pacific,Energy,Integrated Oil & Gas,2022,38.0,2.8,,,40.8,0.000618,66000.0,GHG Protocol (ID),SustainabilityReport_2023,False,2060.0,State-owned Indonesia NOC,2024-01-01 to 2025-12-31
GHG0070,Adaro Energy,ADRO.JK,Indonesia,Asia-Pacific,Energy,Coal Mining,2022,7.4,0.6,,,8.0,0.001356,5900.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,False,,,2024-01-01 to 2025-12-31
GHG0071,Indika Energy,INDY.JK,Indonesia,Asia-Pacific,Energy,Coal Mining,2022,4.8,0.4,,,5.2,0.002476,2100.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,False,,,2024-01-01 to 2025-12-31
GHG0072,PLN (Indonesia),—,Indonesia,Asia-Pacific,Utilities,Electric Power,2022,150.0,,,,150.0,,,GHG Protocol (ID),StatisticalRelease_2023,False,2060.0,State-owned; mostly coal,2024-01-01 to 2025-12-31
GHG0073,NTT Group,9432.T,Japan,Asia-Pacific,Communication Services,Telecom,2022,0.6,2.4,,,3.0,0.00023,13032.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2030.0,High Scope 2 from data centres,2024-01-01 to 2025-12-31
GHG0074,SoftBank Corp,9434.T,Japan,Asia-Pacific,Communication Services,Telecom,2022,0.2,1.1,,,1.3,0.000222,5858.0,GHG Protocol,SustainabilityReport_2023,True,2030.0,,2024-01-01 to 2025-12-31
GHG0075,Toyota Motor,7203.T,Japan,Asia-Pacific,Consumer Discretionary,Automotive,2022,7.5,4.8,4.2,,12.3,4.5e-05,274491.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0076,Honda Motor,7267.T,Japan,Asia-Pacific,Consumer Discretionary,Automotive,2022,3.5,2.1,,,5.6,3.9e-05,141891.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0077,Bridgestone,5108.T,Japan,Asia-Pacific,Consumer Discretionary,Tyre & Rubber,2022,3.2,1.8,,,5.0,0.001512,3306.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0078,Nissan Motor,7201.T,Japan,Asia-Pacific,Consumer Discretionary,Automotive,2022,2.2,1.6,,,3.8,4.3e-05,87592.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0079,Mitsubishi Motors,7211.T,Japan,Asia-Pacific,Consumer Discretionary,Automotive,2022,1.1,0.8,,,1.9,7.6e-05,24851.0,GHG Protocol,SustainabilityReport_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0080,Subaru Corporation,7270.T,Japan,Asia-Pacific,Consumer Discretionary,Automotive,2022,0.9,0.7,,,1.6,6e-05,26651.0,GHG Protocol,SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0081,Michelin (Japan ops),—,Japan,Asia-Pacific,Consumer Discretionary,Tyre & Rubber,2022,0.4,0.2,,,0.6000000000000001,,,GHG Protocol,SustainabilityReport_2023,False,,Japanese manufacturing,2024-01-01 to 2025-12-31
GHG0082,ENEOS Holdings,5020.T,Japan,Asia-Pacific,Energy,Refining,2022,21.4,1.8,,,23.2,0.00166,13980.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2040.0,,2024-01-01 to 2025-12-31
GHG0083,Idemitsu Kosan,5019.T,Japan,Asia-Pacific,Energy,Refining,2022,15.6,1.2,,,16.8,0.002331,7208.0,GHG Protocol,SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0084,Nippon Oil (JXTG/ENEOS part),5020.T,Japan,Asia-Pacific,Energy,Refining,2022,8.4,0.9,,,9.3,,,GHG Protocol,JapanMOE_2023,False,,Reported as part of ENEOS Holdings,2024-01-01 to 2025-12-31
GHG0085,Kyowa Kirin,4151.T,Japan,Asia-Pacific,Health Care,Pharmaceuticals,2022,0.3,0.2,,,0.5,0.000233,2146.0,GHG Protocol,SustainabilityReport_2023,False,2030.0,,2024-01-01 to 2025-12-31
GHG0086,Mitsubishi Heavy Industries,7011.T,Japan,Asia-Pacific,Industrials,Heavy Engineering,2022,1.2,0.6,,,1.7999999999999998,0.000476,3783.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2030.0,,2024-01-01 to 2025-12-31
GHG0087,Kawasaki Heavy Industries,7012.T,Japan,Asia-Pacific,Industrials,Heavy Machinery,2022,0.9,0.5,,,1.4,0.000774,1809.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0088,Hitachi,6501.T,Japan,Asia-Pacific,Industrials,Diversified Industrial,2022,0.9,1.2,,,2.1,0.000241,8718.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2030.0,,2024-01-01 to 2025-12-31
GHG0089,IHI Corporation,7013.T,Japan,Asia-Pacific,Industrials,Heavy Engineering,2022,0.8,0.4,,,1.2000000000000002,0.000789,1520.0,GHG Protocol,SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0090,Daikin Industries,6367.T,Japan,Asia-Pacific,Industrials,HVAC,2022,0.8,0.9,,,1.7000000000000002,0.000508,3348.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0091,Panasonic,6752.T,Japan,Asia-Pacific,Information Technology,Electronics,2022,1.4,1.8,,,3.2,0.00046,6952.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2030.0,,2024-01-01 to 2025-12-31
GHG0092,Sony Group,6758.T,Japan,Asia-Pacific,Information Technology,Electronics,2022,0.7,1.1,,,1.8,0.000199,9059.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2030.0,,2024-01-01 to 2025-12-31
GHG0093,Nippon Steel,5401.T,Japan,Asia-Pacific,Materials,Steel,2022,79.8,3.2,,,83.0,0.010323,8040.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0094,JFE Steel,5411.T,Japan,Asia-Pacific,Materials,Steel,2022,54.9,2.4,,,57.3,0.013969,4102.0,GHG Protocol,JapanMOE_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0095,Kobe Steel,5406.T,Japan,Asia-Pacific,Materials,Steel,2022,17.8,1.1,,,18.9,0.00922,2050.0,GHG Protocol,JapanMOE_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0096,Mitsubishi Chemical,4188.T,Japan,Asia-Pacific,Materials,Chemicals,2022,9.2,2.4,,,11.6,0.002362,4912.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0097,Sumitomo Chemical,4005.T,Japan,Asia-Pacific,Materials,Chemicals,2022,8.4,2.1,,,10.5,0.002113,4969.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0098,Mitsui Chemicals,4183.T,Japan,Asia-Pacific,Materials,Chemicals,2022,7.2,2.3,,,9.5,0.005733,1657.0,GHG Protocol,CDP_2023/JapanMOE_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0099,Oji Holdings,3861.T,Japan,Asia-Pacific,Materials,Paper,2022,6.4,1.1,,,7.5,0.004488,1671.0,GHG Protocol,JapanMOE_2023/CDP_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0100,Asahi Kasei,3407.T,Japan,Asia-Pacific,Materials,Chemicals,2022,6.2,2.4,,,8.6,0.003091,2782.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0101,Ube Industries,4208.T,Japan,Asia-Pacific,Materials,Chemicals & Cement,2022,5.8,1.4,,,7.199999999999999,0.004675,1540.0,GHG Protocol,SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0102,Nippon Paper Industries,3863.T,Japan,Asia-Pacific,Materials,Paper,2022,5.8,0.9,,,6.7,0.004602,1456.0,GHG Protocol,JapanMOE_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0103,Shin-Etsu Chemical,4063.T,Japan,Asia-Pacific,Materials,Chemicals,2022,4.8,1.5,,,6.3,0.000898,7018.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0104,Toray Industries,3402.T,Japan,Asia-Pacific,Materials,Advanced Materials,2022,4.8,2.1,,,6.9,0.003003,2298.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0105,Sumitomo Metal Mining,5713.T,Japan,Asia-Pacific,Materials,Mining,2022,3.4,1.2,,,4.6,0.001429,3218.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0106,Tokuyama Corporation,4043.T,Japan,Asia-Pacific,Materials,Chemicals,2022,3.2,1.5,,,4.7,0.005032,934.0,GHG Protocol,JapanMOE_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0107,Denka Company,4061.T,Japan,Asia-Pacific,Materials,Chemicals,2022,2.8,1.2,,,4.0,0.004914,814.0,GHG Protocol,JapanMOE_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0108,JSR Corporation,4185.T,Japan,Asia-Pacific,Materials,Specialty Chemicals,2022,1.1,0.6,,,1.7000000000000002,0.002291,742.0,GHG Protocol,SustainabilityReport_2023,False,2050.0,,2024-01-01 to 2025-12-31
GHG0109,ANA Holdings,9202.T,Japan,Asia-Pacific,Transportation,Airlines,2022,9.8,0.1,0.1,,9.9,0.000683,14501.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0110,Japan Airlines (JAL),9201.T,Japan,Asia-Pacific,Transportation,Airlines,2022,8.9,0.1,0.1,,9.0,0.000695,12956.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0111,Chubu Electric Power,9502.T,Japan,Asia-Pacific,Utilities,Electric Power,2022,41.8,0.4,,,42.2,0.006017,7014.0,GHG Protocol,JapanMOE_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0112,Tokyo Electric Power (TEPCO),9501.T,Japan,Asia-Pacific,Utilities,Electric Power,2022,38.2,0.5,,,38.7,0.005562,6958.0,GHG Protocol,JapanMOE_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0113,Tohoku Electric Power,9506.T,Japan,Asia-Pacific,Utilities,Electric Power,2022,21.9,0.3,,,22.2,0.005176,4289.0,GHG Protocol,JapanMOE_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0114,Kansai Electric Power,9503.T,Japan,Asia-Pacific,Utilities,Electric Power,2022,20.4,0.3,,,20.7,0.003955,5234.0,GHG Protocol,JapanMOE_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0115,Chugoku Electric Power,9504.T,Japan,Asia-Pacific,Utilities,Electric Power,2022,18.1,0.2,,,18.3,0.006557,2791.0,GHG Protocol,JapanMOE_2023,True,2050.0,,2024-01-01 to 2025-12-31
